series,celebrity,professional,week,dance,dance_style,song,artist,total_score,craig,len,bruno,arlene,alesha,darcey,shirley,motsi,anton,verdict,celeb_dob,celeb_age,celeb_gender,pro_gender,same_sex
1,Lesley Garrett,Anton Du Beke,7,Quickstep,Ballroom,That Old Black Magic,Sammy Davis Jr,33,8.0,8.0,8.0,9.0,,,,,,eliminated,1955-04-10,49.0,F,M,False
1,Lesley Garrett,Anton Du Beke,7,Jive,Latin,My Baby Just Cares for Me,Nina Simone,29,7.0,7.0,8.0,7.0,,,,,,eliminated,1955-04-10,49.0,F,M,False
1,Natasha Kaplinsky,Brendan Cole,7,Waltz,Ballroom,With You I'm Born Again,Billy Preston & Syreeta Wright,36,9.0,9.0,9.0,9.0,,,,,,safe,1972-09-09,31.0,F,M,False
1,Natasha Kaplinsky,Brendan Cole,7,Paso Doble,Latin,O Fortuna,Carl Orff,35,8.0,9.0,9.0,9.0,,,,,,safe,1972-09-09,31.0,F,M,False
1,Christopher Parker,Hanna Karttunen,7,Tango,Ballroom,Toxic,Britney Spears,21,2.0,6.0,7.0,6.0,,,,,,bottom-two,1983-08-24,20.0,M,F,False
1,Christopher Parker,Hanna Karttunen,7,Rumba,Latin,Careless Whisper,George Michael,16,2.0,4.0,5.0,5.0,,,,,,bottom-two,1983-08-24,20.0,M,F,False
1,Natasha Kaplinsky,Brendan Cole,8,Quickstep,Ballroom,The Lady is a Tramp,Frank Sinatra,36,9.0,9.0,9.0,9.0,,,,,,winner,1972-09-09,31.0,F,M,False
1,Natasha Kaplinsky,Brendan Cole,8,Samba,Latin,Love Is in the Air,John Paul Young,31,7.0,7.0,9.0,8.0,,,,,,winner,1972-09-09,31.0,F,M,False
1,Natasha Kaplinsky,Brendan Cole,8,Showdance,Other,(I've Had) The Time of My Life,Bill Medley & Jennifer Warnes,35,8.0,9.0,9.0,9.0,,,,,,winner,1972-09-09,31.0,F,M,False
1,Christopher Parker,Hanna Karttunen,8,Waltz,Ballroom,I Have Nothing,Whitney Houston,24,6.0,5.0,6.0,7.0,,,,,,runner-up,1983-08-24,20.0,M,F,False
1,Christopher Parker,Hanna Karttunen,8,Jive,Latin,Do You Love Me,The Contours,17,3.0,3.0,7.0,4.0,,,,,,runner-up,1983-08-24,20.0,M,F,False
1,Christopher Parker,Hanna Karttunen,8,Showdance,Other,Fame,Irene Cara,22,4.0,6.0,7.0,5.0,,,,,,runner-up,1983-08-24,20.0,M,F,False
2,Julian Clary,Erin Boag,1,Cha-Cha-Cha,Latin,I'm Outta Love,Anastacia,19,4.0,4.0,5.0,6.0,,,,,,safe,1959-05-25,45.0,M,F,False
2,Carol Vorderman,Paul Killick,1,Waltz,Ballroom,Until It's Time for You to Go,Buffy Sainte-Marie,22,5.0,6.0,5.0,6.0,,,,,,bottom-two,1960-12-24,43.0,F,M,False
2,Diarmuid Gavin,Nicole Cutler,1,Cha-Cha-Cha,Latin,September,"Earth, Wind & Fire",12,2.0,2.0,4.0,4.0,,,,,,safe,1964-05-10,40.0,M,F,False
2,Esther Rantzen,Anton Du Beke,1,Waltz,Ballroom,Moon River,Andy Williams,24,5.0,6.0,6.0,7.0,,,,,,safe,1940-06-22,64.0,F,M,False
2,Quentin Willson,Hazel Newberry,1,Cha-Cha-Cha,Latin,Pink Cadillac,Natalie Cole,8,1.0,1.0,3.0,3.0,,,,,,eliminated,1957-07-23,47.0,M,F,False
2,Sarah Manners,Brendan Cole,1,Waltz,Ballroom,I Wonder Why,Curtis Stigers,28,6.0,7.0,7.0,8.0,,,,,,safe,1975-08-25,29.0,F,M,False
2,Roger Black,Camilla Dallerup,1,Cha-Cha-Cha,Latin,Get The Party Started,P!nk,25,6.0,6.0,7.0,6.0,,,,,,safe,1966-03-31,38.0,M,,False
2,Denise Lewis,Ian Waite,1,Waltz,Ballroom,True Love,Pat Boone,31,7.0,8.0,8.0,8.0,,,,,,safe,1972-08-27,32.0,F,M,False
2,Aled Jones,Lilia Kopylova,1,Cha-Cha-Cha,Latin,She Bangs,Ricky Martin,29,7.0,7.0,8.0,7.0,,,,,,safe,1970-12-29,33.0,M,F,False
2,Jill Halfpenny,Darren Bennett,1,Waltz,Ballroom,Weekend in New England,Barry Manilow,27,7.0,7.0,6.0,7.0,,,,,,safe,1975-07-15,29.0,F,M,False
2,Jill Halfpenny,Darren Bennett,2,Rumba,Latin,Lady in Red,Chris de Burgh,32,8.0,8.0,8.0,8.0,,,,,,safe,1975-07-15,29.0,F,M,False
2,Aled Jones,Lilia Kopylova,2,Quickstep,Ballroom,Cabaret,Liza Minnelli,27,7.0,6.0,7.0,7.0,,,,,,safe,1970-12-29,33.0,M,F,False
2,Sarah Manners,Brendan Cole,2,Rumba,Latin,I Don't Want To Miss A Thing,Aerosmith,23,5.0,6.0,6.0,6.0,,,,,,safe,1975-08-25,29.0,F,M,False
2,Roger Black,Camilla Dallerup,2,Quickstep,Ballroom,Mack The Knife,Bobby Darin,22,5.0,5.0,6.0,6.0,,,,,,safe,1966-03-31,38.0,M,,False
2,Esther Rantzen,Anton Du Beke,2,Rumba,Latin,The Look of Love,Dusty Springfield,16,2.0,4.0,5.0,5.0,,,,,,bottom-two,1940-06-22,64.0,F,M,False
2,Diarmuid Gavin,Nicole Cutler,2,Quickstep,Ballroom,I'll Be There For You,The Rembrandts,12,2.0,3.0,4.0,3.0,,,,,,safe,1964-05-10,40.0,M,F,False
2,Carol Vorderman,Paul Killick,2,Rumba,Latin,Truly,Lionel Richie,20,5.0,4.0,5.0,6.0,,,,,,eliminated,1960-12-24,43.0,F,M,False
2,Julian Clary,Erin Boag,2,Quickstep,Ballroom,Diamonds Are A Girl's Best Friend,Marilyn Monroe,27,6.0,7.0,7.0,7.0,,,,,,safe,1959-05-25,45.0,M,F,False
2,Denise Lewis,Ian Waite,2,Rumba,Latin,My Heart Will Go On,Celine Dion,32,8.0,8.0,8.0,8.0,,,,,,safe,1972-08-27,32.0,F,M,False
2,Roger Black,Camilla Dallerup,3,Jive,Latin,Teenage Wedding,from Johnny Angel,25,6.0,6.0,7.0,6.0,,,,,,safe,1966-03-31,38.0,M,,False
